"ids"	"type"	"missing96"	"missing97"	"club_type_detailed"	"club_type_general"	"club_type_gender"	"club_profile"	"club_season"	"club_commitment"	"club_type_grade"	"club_feeder"
"Spanish NHS"	"club"	0	0	"Academic Interest"	"Academic"	"boys_girls"	"low"	"all_year"	"not_high"	"all_grades"	"no"
"STUCO"	"club"	0	0	"Leadership"	"Academic"	"boys_girls"	"very_high"	"all_year"	"not_high"	"all_grades"	"no"
"Swim & Dive Team, boys"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"low"	"winter"	"high"	"all_grades"	"no"
"Swim & Dive Team, girls"	"club"	0	0	"Individual Sports"	"Individual Sports"	"girls"	"low"	"winter"	"high"	"all_grades"	"no"
"Teachers of Tomorrow"	"club"	0	0	"Academic Interest"	"Academic"	"boys_girls"	"low"	"all_year"	"not_high"	"all_grades"	"no"
"Tennis girls V"	"club"	0	0	"Individual Sports"	"Individual Sports"	"girls"	"low"	"spring"	"high"	"all_grades"	"no"
"Tennis, boys V"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"low"	"spring"	"high"	"all_grades"	"no"
"Theatre Productions"	"club"	0	0	"Performance Art"	"Performance Art"	"boys_girls"	"high"	"all_year"	"high"	"all_grades"	"no"
"Thespian Society (ITS)"	"club"	0	0	"Performance Art"	"Performance Art"	"boys_girls"	"high"	"all_year"	"high"	"all_grades"	"no"
"Track, boys 8th"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"low"	"spring"	"high"	"eighth"	"yes"
"Track, boys V"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"moderate"	"spring"	"high"	"ninth+"	"no"
"Track, girls 8th"	"club"	0	0	"Individual Sports"	"Individual Sports"	"girls"	"low"	"spring"	"high"	"all_grades"	"no"
"Track, girls V"	"club"	0	0	"Individual Sports"	"Individual Sports"	"girls"	"moderate"	"spring"	"high"	"ninth+"	"no"
"Volleyball, 8th"	"club"	0	0	"Team Sports"	"Team Sports"	"girls"	"low"	"all_year"	"high"	"eighth"	"yes"
"Volleyball, 9th"	"club"	0	0	"Team Sports"	"Team Sports"	"girls"	"low"	"fall"	"high"	"ninth"	"yes"
"Volleyball, JV"	"club"	0	0	"Team Sports"	"Team Sports"	"girls"	"moderate"	"fall"	"high"	"ninth_tenth_eleventh"	"yes"
"Volleyball, V"	"club"	0	0	"Team Sports"	"Team Sports"	"girls"	"high"	"fall"	"high"	"ninth+"	"no"
"Wrestling, 8th"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"low"	"winter"	"high"	"eighth"	"yes"
"Wrestling, V"	"club"	0	0	"Individual Sports"	"Individual Sports"	"boys"	"moderate"	"winter"	"high"	"ninth+"	"no"
"Yearbook Contributors"	"club"	0	0	"Media"	"Academic"	"boys_girls"	"moderate"	"all_year"	"not_high"	"all_grades"	"no"
"Yearbook Editors"	"club"	0	0	"Media"	"Academic"	"boys_girls"	"high"	"all_year"	"high"	"all_grades"	"no"
