"ids" "gender" "prestige" "research_type" "subject"
264 0 "low prestige" "quantitative" 21
265 1 "low prestige" "quantitative" 3
266 1 "low prestige" "quantitative" 6
267 1 "low prestige" "quantitative" 19
268 1 "low prestige" "qualitative" 7
269 1 "low prestige" "quantitative" 18
270 0 "low prestige" "quantitative" 21
271 0 "low prestige" "quantitative" 21
272 0 "low prestige" "quantitative" 21
273 0 "low prestige" "quantitative" 13
274 0 "low prestige" "qualitative" 5
275 0 "low prestige" "mixed" 21
276 1 "low prestige" "quantitative" 21
277 0 "low prestige" "quantitative" 24
278 1 "low prestige" "quantitative" 16
279 1 "low prestige" "qualitative" 8
280 1 "low prestige" "quantitative" 20
281 NA "low prestige" "qualitative" 21
282 0 "low prestige" "quantitative" 21
283 1 "low prestige" "qualitative" 8
284 0 "low prestige" "quantitative" 8
285 1 "low prestige" "quantitative" 21
286 1 "low prestige" "qualitative" 9
287 NA "low prestige" "quantitative" 21
288 NA "low prestige" "qualitative" 21
289 1 "low prestige" "qualitative" 13
290 0 "high prestige" "quantitative" 21
291 1 "low prestige" "quantitative" 18
292 1 "low prestige" "qualitative" 6
293 1 "low prestige" "quantitative" 12
294 0 "low prestige" "qualitative" 21
295 1 "low prestige" "qualitative" 8
296 0 "low prestige" "qualitative" 20
297 1 "low prestige" "qualitative" 7
298 0 "low prestige" "quantitative" 19
299 1 "low prestige" "quantitative" 27
300 1 "low prestige" "quantitative" 21
301 NA "low prestige" "quantitative" 21
302 1 "low prestige" "quantitative" 7
303 1 "low prestige" "qualitative" 24
304 NA "low prestige" "quantitative" 13
305 0 "low prestige" "quantitative" 20
306 0 "low prestige" "quantitative" 19
307 NA "low prestige" "quantitative" 16
308 0 "low prestige" "qualitative" 19
309 0 "low prestige" "quantitative" 1
310 0 "low prestige" "quantitative" 19
311 0 "low prestige" "qualitative" 21
312 NA "low prestige" "quantitative" 24
313 1 "low prestige" "mixed" 21
314 NA "low prestige" "quantitative" 18
315 1 "low prestige" "qualitative" 24
316 1 "low prestige" "quantitative" 3
317 NA "low prestige" "quantitative" 24
318 1 "low prestige" "quantitative" 18
319 NA "low prestige" "qualitative" 29
320 0 "low prestige" "quantitative" 6
321 1 "low prestige" "qualitative" 24
322 0 "low prestige" "quantitative" 19
323 1 "low prestige" "quantitative" 6
324 0 "low prestige" "qualitative" 6
325 0 "low prestige" "quantitative" 20
326 0 "low prestige" "quantitative" 14
327 NA "low prestige" "quantitative" 20
328 NA "low prestige" "quantitative" 21
329 1 "low prestige" "qualitative" 19
330 NA "low prestige" "quantitative" 21
331 NA "low prestige" "quantitative" 20
332 NA "low prestige" "quantitative" 21
333 1 "low prestige" "quantitative" 20
334 1 "low prestige" "qualitative" 9
335 1 "low prestige" "mixed" 21
336 0 "low prestige" "quantitative" 7
337 0 "low prestige" "qualitative" 3
338 1 "low prestige" "quantitative" 12
339 1 "low prestige" "qualitative" 20
340 1 "low prestige" "quantitative" 21
341 0 "low prestige" "quantitative" 19
342 NA "low prestige" "quantitative" 20
343 NA "low prestige" "quantitative" 14
344 NA "low prestige" "quantitative" 7
345 1 "low prestige" "quantitative" 13
346 NA "low prestige" "quantitative" 7
347 NA "low prestige" "mixed" 7
348 1 "low prestige" "quantitative" 21
349 NA "low prestige" "quantitative" 21
350 0 "low prestige" "qualitative" 21
351 1 "low prestige" "qualitative" 21
352 NA "low prestige" "quantitative" 16
353 NA "low prestige" "qualitative" 24
354 1 "low prestige" "quantitative" 19
355 1 "low prestige" "quantitative" 7
356 1 "low prestige" "quantitative" 21
357 0 "low prestige" "quantitative" 7
358 NA "low prestige" "quantitative" 6
359 NA "low prestige" "quantitative" 21
360 NA "low prestige" "quantitative" 24
361 NA "low prestige" "mixed" 19
362 NA "low prestige" "qualitative" 21
363 NA "low prestige" "quantitative" 19
364 NA "low prestige" "qualitative" 6
365 1 "low prestige" "quantitative" 21
366 0 "low prestige" "quantitative" 21
367 NA "low prestige" "quantitative" 18
368 0 "low prestige" "quantitative" 21
369 0 "low prestige" "quantitative" 21
370 0 "low prestige" "qualitative" 6
371 1 "low prestige" "quantitative" 21
372 1 "low prestige" "quantitative" 20
373 1 "low prestige" "quantitative" 7
374 NA "low prestige" "quantitative" 19
375 0 "low prestige" "quantitative" 10
376 0 "low prestige" "quantitative" 29
377 0 "low prestige" "mixed" 19
378 NA "low prestige" "qualitative" 6
379 NA "low prestige" "quantitative" 21
380 1 "low prestige" "qualitative" 6
381 0 "low prestige" "qualitative" 4
382 NA "low prestige" "quantitative" 21
383 0 "low prestige" "quantitative" 29
384 0 "low prestige" "qualitative" 20
385 0 "low prestige" "qualitative" 19
386 0 "low prestige" "qualitative" 3
387 1 "low prestige" "qualitative" 6
388 1 "low prestige" "qualitative" 14
389 1 "low prestige" "quantitative" 21
390 0 "low prestige" "qualitative" 20
391 0 "low prestige" "qualitative" 20
392 1 "low prestige" "quantitative" 21
393 1 "low prestige" "quantitative" 18
394 0 "low prestige" "quantitative" 8
395 NA "low prestige" "qualitative" 13
396 0 "low prestige" "quantitative" 24
397 NA "low prestige" "quantitative" 21
398 NA "low prestige" "qualitative" 26
399 0 "low prestige" "qualitative" 24
400 1 "low prestige" "quantitative" 6
401 NA "low prestige" "qualitative" 21
402 NA "low prestige" "quantitative" 21
403 0 "low prestige" "qualitative" 13
404 NA "low prestige" "quantitative" 8
405 NA "low prestige" "quantitative" 19
406 NA "low prestige" "qualitative" 7
407 NA "low prestige" "quantitative" 3
408 1 "low prestige" "mixed" 3
409 1 "low prestige" "quantitative" 21
410 NA "low prestige" "quantitative" 8
411 NA "low prestige" "qualitative" 24
412 1 "low prestige" "qualitative" 5
413 NA "low prestige" "quantitative" 19
414 1 "low prestige" "quantitative" 19
415 1 "low prestige" "qualitative" 1
416 NA "low prestige" "quantitative" 21
417 NA "low prestige" "quantitative" 18
418 NA "low prestige" "quantitative" 10
419 NA "low prestige" "quantitative" 7
420 0 "low prestige" "mixed" 24
421 NA "low prestige" "quantitative" 3
422 0 "low prestige" "quantitative" 21
423 NA "low prestige" "quantitative" 7
424 NA "low prestige" "qualitative" 7
425 NA "low prestige" "qualitative" 7
426 0 "low prestige" "quantitative" 20
427 1 "low prestige" "quantitative" 21
428 1 "low prestige" "qualitative" 21
429 0 "low prestige" "quantitative" 4
430 0 "low prestige" "quantitative" 18
431 1 "low prestige" "quantitative" 18
432 NA "low prestige" "quantitative" 10
433 1 "low prestige" "qualitative" 21
434 1 "low prestige" "qualitative" 21
435 NA "low prestige" "quantitative" 19
436 NA "low prestige" "quantitative" 19
437 NA "low prestige" "quantitative" 19
438 0 "low prestige" "quantitative" 14
439 NA "low prestige" "quantitative" 19
440 NA "low prestige" "quantitative" 19
441 1 "low prestige" "qualitative" 21
442 0 "low prestige" "quantitative" 19
443 1 "low prestige" "quantitative" 6
444 1 "low prestige" "quantitative" 6
445 1 "low prestige" "quantitative" 21
446 NA "low prestige" "quantitative" 3
447 1 "low prestige" "mixed" 9
448 1 "low prestige" "mixed" 2
449 1 "high prestige" "quantitative" 21
450 NA "low prestige" "qualitative" 13
451 NA "low prestige" "quantitative" 20
452 1 "low prestige" "qualitative" 7
453 NA "low prestige" "qualitative" 15
454 NA "low prestige" "quantitative" 20
455 NA "low prestige" "quantitative" 5
456 0 "low prestige" "quantitative" 19
457 NA "low prestige" "qualitative" 20
458 0 "low prestige" "quantitative" 26
459 NA "low prestige" "quantitative" 21
460 1 "low prestige" "quantitative" 15
461 NA "low prestige" "quantitative" 3
462 1 "low prestige" "quantitative" 7
463 0 "low prestige" "mixed" 21
464 0 "low prestige" "quantitative" 4
465 NA "low prestige" "quantitative" 21
466 1 "low prestige" "quantitative" 27
467 0 "low prestige" "quantitative" 21
468 0 "low prestige" "quantitative" 21
469 NA "low prestige" "qualitative" 5
470 1 "low prestige" "quantitative" 20
471 0 "low prestige" "qualitative" 24
472 1 "low prestige" "quantitative" 6
473 0 "low prestige" "quantitative" 20
474 1 "low prestige" "quantitative" 3
475 1 "low prestige" "quantitative" 13
476 NA "high prestige" "quantitative" 26
477 NA "low prestige" "quantitative" 7
478 0 "low prestige" "quantitative" 21
479 0 "low prestige" "qualitative" 21
480 NA "low prestige" "quantitative" 21
481 1 "low prestige" "quantitative" 7
482 1 "low prestige" "quantitative" 7
483 1 "low prestige" "quantitative" 3
484 0 "low prestige" "quantitative" 21
485 0 "low prestige" "qualitative" 20
486 1 "low prestige" "qualitative" 4
487 0 "low prestige" "quantitative" 20
488 NA "low prestige" "quantitative" 11
489 1 "low prestige" "qualitative" 14
490 0 "low prestige" "quantitative" 21
491 0 "low prestige" "qualitative" 20
492 1 "low prestige" "quantitative" 29
493 NA "low prestige" "qualitative" 21
494 1 "low prestige" "quantitative" 24
495 0 "low prestige" "qualitative" 13
496 NA "low prestige" "quantitative" 3
