"CASEID","ALTER1","ALTER2","WEIGHT"
19850138,1,4,1
19850138,1,5,2
19850138,2,3,1
19850138,2,4,1
19850138,2,5,2
19850138,3,4,2
19850138,3,5,1
19850138,4,5,2
19850139,1,2,2
19850139,1,3,2
19850139,1,4,2
19850139,1,5,1
19850139,2,3,2
19850139,2,4,1
19850139,2,5,1
19850139,3,4,1
19850139,3,5,1
19850139,4,5,1
19850140,1,2,1
19850142,1,2,1
19850143,1,2,1
19850143,1,3,1
19850143,2,3,2
19850145,1,2,2
19850145,2,3,1
19850146,1,2,2
19850146,1,3,2
19850146,2,3,2
19850147,1,2,2
19850152,1,2,2
19850152,1,3,2
19850152,1,4,2
19850152,1,5,1
19850152,2,3,2
19850152,2,4,2
19850152,2,5,1
19850152,3,5,1
19850152,4,5,1
19850154,1,2,1
19850155,1,2,2
19850156,1,2,2
19850156,1,3,2
19850156,2,3,2
19850158,2,3,1
19850159,1,2,1
19850160,1,2,1
19850160,1,3,1
19850160,1,4,1
19850160,1,5,1
19850160,2,3,1
19850160,2,4,1
19850160,2,5,1
19850160,3,4,2
19850160,3,5,2
19850160,4,5,2
19850161,1,2,2
19850162,1,2,1
19850162,1,3,1
19850162,2,4,1
19850163,1,2,1
19850163,1,3,1
19850163,1,4,1
19850163,3,4,1
19850164,1,2,1
19850164,1,3,1
19850164,2,3,1
19850165,1,2,1
19850165,1,3,1
19850165,1,4,2
19850165,2,3,2
19850165,2,4,1
19850165,2,5,1
19850165,3,4,1
19850165,3,5,1
19850166,1,2,1
19850166,1,3,1
19850166,2,3,1
19850169,1,2,1
19850169,1,3,2
19850169,1,4,1
19850169,1,5,1
19850169,2,3,2
19850169,2,4,1
19850169,2,5,2
19850169,3,4,2
19850169,3,5,2
19850169,4,5,1
19850170,1,2,1
19850173,1,2,2
19850173,1,3,2
19850173,1,4,2
19850173,1,5,2
19850173,2,3,2
19850173,2,4,2
19850173,2,5,1
19850173,3,4,2
19850173,3,5,2
19850173,4,5,2
19850175,1,2,2
19850176,1,2,2
19850177,1,2,1
19850177,1,3,1
19850178,1,2,1
19850179,1,2,1
19850179,1,3,1
19850179,2,3,2
19850180,1,2,2
19850180,1,3,1
19850180,2,3,1
19850180,3,4,1
19850180,3,5,2
19850180,4,5,1
19850181,1,2,2
19850181,1,3,2
19850181,2,3,1
19850182,1,3,1
19850182,2,3,1
19850183,1,2,1
19850183,1,3,1
19850183,1,4,1
19850183,2,3,2
19850183,2,4,2
19850183,3,4,1
19850184,1,2,2
19850184,1,3,1
19850184,1,4,1
19850184,2,3,2
19850184,2,4,1
19850184,3,4,2
19850185,1,2,1
19850185,1,3,1
19850185,1,4,1
19850185,2,3,1
19850186,1,2,2
19850186,1,3,1
19850186,1,5,1
19850186,2,3,1
19850186,2,5,1
19850186,3,4,1
19850186,3,5,1
19850186,4,5,1
19850187,1,2,2
19850187,1,3,1
19850187,1,4,1
19850187,1,5,1
19850187,2,3,2
19850187,2,4,2
19850187,2,5,2
19850187,3,4,2
19850187,3,5,2
19850187,4,5,1
19850188,1,2,2
19850189,1,2,1
19850189,1,3,1
19850189,2,3,1
19850191,1,2,1
19850191,1,3,1
19850191,1,4,1
19850191,2,3,2
19850191,2,4,2
19850191,3,4,1
19850192,1,2,1
19850192,1,3,2
19850192,1,4,2
19850192,3,4,2
19850193,1,2,2
19850193,1,3,1
19850193,1,4,1
19850193,2,3,1
19850193,2,4,1
19850193,3,4,1
19850194,1,2,2
19850195,1,2,2
19850197,1,2,2
19850197,1,5,1
19850197,2,5,1
19850198,1,2,2
19850198,1,3,2
19850198,1,4,2
19850198,2,3,2
19850198,2,4,1
19850198,3,4,1
19850199,1,3,1
19850199,1,4,1
19850199,1,5,2
19850199,2,3,2
19850199,2,4,2
19850199,3,4,2
19850200,1,3,1
19850201,1,2,1
19850201,1,3,1
19850201,1,4,1
19850201,2,3,1
19850201,2,4,1
19850201,3,4,2
19850208,1,3,1
19850208,1,4,2
19850208,3,4,1
19850209,1,3,2
19850209,1,4,1
19850209,1,5,1
19850209,3,4,2
19850209,3,5,2
19850209,4,5,2
19850210,1,2,1
19850210,1,5,1
19850212,1,2,2
19850212,1,3,2
19850212,2,3,2
19850213,1,2,2
19850213,1,3,1
19850213,1,5,1
19850213,2,3,1
19850213,2,5,1
19850213,3,5,1
19850213,4,5,1
19850214,1,2,1
19850214,1,3,1
19850214,1,4,2
19850214,1,5,2
19850214,2,3,2
19850214,2,4,1
19850214,2,5,1
19850214,4,5,2
19850215,1,2,2
19850216,3,4,2
19850216,3,5,2
19850216,4,5,2
19850217,1,2,2
19850217,1,3,2
19850217,2,3,1
19850218,1,2,2
19850218,2,5,1
19850218,3,4,1
19850218,3,5,1
19850218,4,5,1
19850219,1,2,2
19850219,1,3,1
19850219,1,4,1
19850219,1,5,1
19850219,2,3,1
19850219,2,4,1
19850219,2,5,1
19850220,1,2,1
19850220,1,3,2
19850220,2,3,1
19850221,1,2,1
19850222,1,4,1
19850222,1,5,1
19850222,2,3,1
19850222,2,4,1
19850222,3,4,2
19850222,3,5,1
19850222,4,5,2
19850225,1,2,2
